자치구,기간,계,인도(주인),입양분양,폐사안락사,계류기증
종로구,2020,114,27,29,56,2
중구,2020,41,19,12,8,2
용산구,2020,136,87,40,4,5
성동구,2020,88,30,27,27,4
광진구,2020,104,51,24,28,1
동대문구,2020,141,47,48,37,9
중랑구,2020,151,47,56,38,10
성북구,2020,140,67,23,46,4
강북구,2020,207,61,58,80,8
도봉구,2020,161,66,39,48,8
노원구,2020,164,49,47,58,10
은평구,2020,191,79,40,66,6
서대문구,2020,73,30,23,18,2
마포구,2020,117,65,45,0,7
양천구,2020,160,110,47,3,0
강서구,2020,151,64,43,38,6
구로구,2020,98,37,20,37,4
금천구,2020,113,53,39,15,6
영등포구,2020,76,30,23,18,5
동작구,2020,135,87,31,17,0
관악구,2020,301,149,138,9,5
서초구,2020,94,27,20,44,3
강남구,2020,136,50,56,23,7
송파구,2020,140,64,35,31,10
강동구,2020,190,98,54,28,10
