자치구,기간,계,인도(주인),입양분양,폐사안락사,계류기증
종로구,2020,7,2,5,0,0
중구,2020,3,0,3,0,0
용산구,2020,10,4,6,0,0
성동구,2020,8,1,3,4,0
광진구,2020,15,1,12,2,0
동대문구,2020,18,1,10,7,0
중랑구,2020,8,0,7,1,0
성북구,2020,10,1,6,2,1
강북구,2020,16,1,15,0,0
도봉구,2020,12,0,10,2,0
노원구,2020,12,1,8,1,2
은평구,2020,9,0,7,2,0
서대문구,2020,8,0,6,2,0
마포구,2020,6,2,2,0,2
양천구,2020,12,2,9,1,0
강서구,2020,16,1,11,3,1
구로구,2020,3,1,1,1,0
금천구,2020,9,2,6,1,0
영등포구,2020,19,0,16,2,1
동작구,2020,19,0,12,7,0
관악구,2020,33,2,29,2,0
서초구,2020,15,0,12,3,0
강남구,2020,9,2,6,1,0
송파구,2020,8,1,6,1,0
강동구,2020,13,2,11,0,0
